id,name,emissions_per_unit,unit,category,tags,icon
00e9ee74-9879-422b-b8f0-13adf2fd4254,Use dishwasher,1.321,use,energy-home,"[""dishwasher"",""home"",""kitchen"",""electricity""]",energy-home
0234d89f-181d-49ed-839c-e60b89e340d5,Pasta dish,1.054,item,food-drink,"[""pasta"",""meal""]",food-drink
048012f4-86e0-495f-b289-564d720a7c7a,Milkshake,2.441,item,food-drink,"[""milkshake"",""dairy"",""drink""]",food-drink
0cb4087a-f8aa-40b4-a3ed-96bc60af267d,Electric shower (10 mins),2.641,use,energy-home,"[""shower"",""bathroom"",""electric"",""home""]",energy-home
13987678-814c-4a46-ace2-9f29ffd053e4,Train,0.03546,km-per_person,travel,"[""rail"",""journey"",""travel"",""train""]",train
1a059791-06dd-4579-b170-45b8fccf671b,Gaming console (1 hour),0.754,use,energy-home,"[""gaming"",""console"",""play"",""home""]",energy-home
202b9c2e-8793-4120-8faa-2c7d2804f389,Using disposable plates,1.643,activity,lifestyle,"[""disposable"",""plates"",""waste""]",lifestyle
2175cbcf-c07b-4622-8f2b-965e872bc29e,Pet ownership (monthly),3.832,activity,lifestyle,"[""pet"",""dog"",""cat"",""monthly""]",lifestyle
2698f0fd-6c40-434d-a897-2bf08242ce4b,Coffee with milk,0.742,item,food-drink,"[""coffee"",""milk"",""drink""]",food-drink
2d35deac-3abe-48ce-a2be-dbddc89bdb25,Flight - (Long Haul),0.26128,km-per_person,travel,"[""flight"",""fly"",""long"",""haul"",""aeroplane"",""airplane"",""travel"",""journey""]",plane
36ff5c6e-d40e-4679-ae64-090d838d0cbd,Cheese portion,2.981,item,food-drink,"[""cheese"",""dairy"",""portion""]",food-drink
37955176-5799-430b-8d03-452a7a36a9c2,Microwave use,0.674,use,energy-home,"[""microwave"",""cook"",""home""]",energy-home
426d3c44-c9ab-47f3-b678-0b8050044669,Attending a concert,1.884,activity,lifestyle,"[""concert"",""event"",""entertainment""]",lifestyle
451396bb-345d-4b6e-b4d4-7d9d622f9339,Attending a sports event,2.871,activity,lifestyle,"[""sports"",""event"",""match"",""game""]",lifestyle
465733b2-c2e5-4cd3-b7b8-87cac24fe30b,Fast fashion purchase,4.112,activity,lifestyle,"[""fast"",""fashion"",""clothing""]",lifestyle
4aa7284f-11dd-4e7c-92c1-560a53b446ad,Dry cleaning clothes,2.214,activity,lifestyle,"[""dry"",""clean"",""clothes""]",lifestyle
4ed83b7e-00af-4310-beb9-440ce599dbb1,Long shower,3.511,activity,lifestyle,"[""shower"",""waste"",""water""]",lifestyle
542ef3bd-275b-4bc5-9486-7d083235329a,Car - (Diesel),0.16984,km,travel,"[""car"",""diesel"",""travel"",""journey""]",car
5caf6a46-13de-4c25-9b5f-6666825e5a3d,Black coffee,0.372,item,food-drink,"[""coffee"",""black"",""drink""]",food-drink
5f11ecb5-553c-4d9d-a27e-ab129335c790,Desktop computer (1 hour),0.934,use,energy-home,"[""desktop"",""computer"",""home"",""work""]",energy-home
6060db8c-af7b-45bc-acd8-8f75ecf2f848,Heating home,2.145,use,energy-home,"[""heating"",""home"",""energy"",""gas""]",energy-home
6533cdc4-3229-4482-a5fe-d29229a912c7,energy per kWh,0.20705,kWh,energy-home,"[""hidden""]",unknown
6e00b558-5b38-40b9-a526-af7c41e20995,Tofu stir fry,1.042,item,food-drink,"[""tofu"",""stirfry"",""vegan""]",food-drink
